name,id
By Enterprises Incorporated Trend,author_481
"By Benet, Rosemary",author_482
"By Oberman, Lola and Swan, Joy (ILT)",author_483
"By MacLean, Norman",author_484
"By Bowen, Elizabeth",author_485
"By Mitchell, Sherry",author_486
"By Graff, Marie Louise",author_487
By James Joseph Rorimer,author_488
By John Locke,author_489
"By Harris, Tina",author_490
By Editor,author_491
By Ken Anderson,author_492
"By Feist, Uwe",author_493
"By Muhlberger, Richard",author_494
"By Monks, New Skete",author_495
"By Spencer, Camika",author_496
"By Plato and Hamilton, Walter",author_497
"By Wright, H. Norman",author_498
"By Coville, Bruce",author_499
"By Lumb, Nick",author_500
By Winifred Van Etten,author_501
"By Bell, William Gardner",author_502
"By Yohn, Susan M.",author_503
"By Card, Emily and Kelly, Christie Watts",author_504
"By Finch, Phillip",author_505
"By Welsh, Alexander",author_506
"By Bragdon, Allen D.",author_507
"By Kelly, Kate",author_508
"By Jackson, Albert and Day, David",author_509
"By Smyth, Charles Piazzi",author_510
"By Bergen, Peter L.",author_511
"By DiSpirito, Rocco, Leutwyler, Henry, and Sherer, Kris",author_512
"By Wegman, William, Kismaric, Carole, and Heiferman, Marvin",author_513
"By Miller, Susan",author_514
By Gardenway Book (EDT),author_515
"By Schendler, Sylvan",author_516
"By Kitano, Harry H. L.",author_517
"By Lawson, Jim C",author_518
"By International Center of Photography (PHT), Hollander, Anne (EDT), Handy, Ellen (EDT), and Handy, Ellen",author_519
"By Armstrong, Bob",author_520
"By McCain, John and Salter, Mark",author_521
"By Timperlake, Edward and Triplett, William C., II",author_522
"By Giff, Patricia Reilly",author_523
"By Keeling, Jan (EDT) and Jinkins, Barbara",author_524
"By Wildish, Paul",author_525
"By Abbott, Eleanor Hallowell",author_526
"By Pearson, Carol S.",author_527
"By Yerby, Frank",author_528
By Parramon's Editorial Team (COR),author_529
"By Nesbitt, Mark V.",author_530
"By Franey, Pierre, Jarrett, Lauren (ILT), and Flaste, Richard",author_531
"By Boardman, John",author_532
"By More, Thomas, Sir, Saint and Ogden, H. V. S. (EDT)",author_533
"By Goldberg, Bernard",author_534
"By Bender, Sue",author_535
"By LIEBERMAN, Nelson A",author_536
"By Smallin, Donna",author_537
"By Slone, Harry",author_538
"By MacNelly, Jeff and Margolis, Jon",author_539
"By Sanders, Andrew, Hughes, Arthur, and Hughes, Thomas",author_540
"By Ovid, Melville, A. D. (TRN), and Kenney, E. J. (INT)",author_541
"By Zola, Emile, Collier, Peter (TRN), and Lethbridge, Robert (TRN)",author_542
"By California Coastal Commission, Caughman, Madge, and Ginsberg, Joanne S.",author_543
"By Kalman, Bobbie",author_544
"By Gallico, Paul",author_545
"By Salli Brand, Jullie Collins, Catherine Cumming, Tricia Greening, Katrina Hall, Frances Halliday, Clare Louise Hunt, Joanna Jones, Lawrence Llewelyn Bo",author_546
"By Dillard, J. M. and Dillar, J. M.",author_547
"By Fox, Michael W.",author_548
"By Barber, Phil and Didinger, Ray",author_549
"By Caudill, Maureen",author_550
"By Fleming, Anne",author_551
"By ""Better Homes and Gardens""",author_552
"By Berman, Carl",author_553
"By Moore, Thomas (EDT)",author_554
"By Rust, Art and Marley, Michael",author_555
"By Karon, Jan",author_556
"By Hunsaker, Phillip L., Cook, Curtis W., and Coffey, Robert E.",author_557
"By Minkin, Mary Jane, M.D. and Wright, Carol V.",author_558
"By Davis, Jim and Wallace, Carol",author_559
By Jeanne C Scherer,author_560
"By Mays, Steven (PHT) and Sterbenz, Carol Endler",author_561
"By Brown, Michele",author_562
"By Berry, Susan, Laura Ashley (Firm) (COR), Ashley, Laura, and Kuscenko, Valerie (EDT)",author_563
"By Eisler, Kim Isaac",author_564
"By Rush, Richard H.",author_565
"By National Criminal Justice Commission (U. S.) (COR) and Donziger, Steven A. (EDT)",author_566
By Michaela Muntean,author_567
"By Wilner, Abby and Stocker, Catherine",author_568
"By Frohnmayer, John",author_569
"By Sullivan, Mary Beth and Bourke, Linda",author_570
"By Ackerman, Robert J.",author_571
"By Evans, Walker and Rathbone, Belinda",author_572
"By Ahrens, C. Donald",author_573
"By Loftin, T. L. and Zarambouka, Sofia (ILT)",author_574
"By Duke, Dennis",author_575
"By Georgano, G. N.",author_576
"By Stevenson, Robert Louis and Letley, Emma",author_577
"By Jeffcoat, A. E.",author_578
"By Lewis, Bernard",author_579
"By Fisher, R. McKenzie",author_580
"By Dyer, Wayne W.",author_581
"By Balcomb, Kenneth C., Foster, Larry, and Minasian, Stanley M.",author_582
"By Teitler, Risa",author_583
"By Ingram, Catherine and Gandhi, Ramchandra (FRW)",author_584
"By White, E. B. and Thurber, James",author_585
"By McDaniel, Weston Owen",author_586
"By Buxbaum, Martin",author_587
"By Buller, Michael",author_588
"By Hoagland, Edward",author_589
"By Simpkinson, Charles (EDT) and Simpkinson, Anne (EDT)",author_590
By Thomas Translated by Cleary,author_591
"By Meehan, Patricia",author_592
"By Antoniou, Jim",author_593
"By Hobhouse, Penelope and McDonald, Elvin (CON)",author_594
"By Walsh, Helen",author_595
"By Prose, Francine",author_596
By Peter H. Hassrick,author_597
"By Braselton, Susan Collier (EDT), Civil War Trust (U. S.) (EDT), Andrews, Edgar M. (EDT), Birkhead, Paul J. (EDT), Fix, Julie K. (EDT), Gruber, Elliot H. (EDT), and McMahon, Danielle V. (EDT)",author_598
"By Findley, Timothy",author_599
"By Simon, George",author_600
"By Dallek, Robert",author_601
"By Maddox, Brenda",author_602
"By Stewart, Robert",author_603
"By Sicherman, Barbara (EDT) and Green, Carol Hurd (EDT)",author_604
"By Furgurson, Ernest B.",author_605
"By Mourad, Leona A.",author_606
"By Swindoll, Charles R.",author_607
"By Snow, Kimberley",author_608
"By Edward, John",author_609
"By Allison, John R., Howell, Rate A., and Prentice, Robert A.",author_610
"By Nickerson, Roy",author_611
"By Nowinski, Joseph",author_612
"By Keegan, Warren J., Moriarty, Sandra, Duncan, Tom",author_613
By The New Yorker,author_614
"By Joy, Anna",author_615
"By Blackstone, Margaret and Snyderman, Nancy L., M.D.",author_616
"By Graver, Elizabeth",author_617
"By Sharma, Akhil",author_618
"By Seigel, Andrea",author_619
"By Cotterell, Arthur",author_620
"By Heilbrun, Carolyn G.",author_621
"By Grossman, David and Rosenberg, Betsy (TRN)",author_622
"By Degrandpre, Richard J.",author_623
"By Kluger, Richard",author_624
"By Simons, Robin",author_625
"By Birkhead, Mike and Birkhead, Tim",author_626
"By Sheean, Vincent",author_627
"By Stoneman, Richard",author_628
"By Libo, Kenneth and Howe, Irving",author_629
"By Fowler, George",author_630
"By Munson, Ronald and Hoffman, Christopher A.",author_631
By Wynia,author_632
"By Spada, James",author_633
By Rh Value Publishing,author_634
"By Yapp, Nick",author_635
"By Nakashima, Ellen",author_636
"By McCullough, David",author_637
"By DAYAN, Ruth and Feinberg, Willie",author_638
"By Sherwood, Arthur W.",author_639
"By Cooke, Alistair",author_640
"By Warren, Rick",author_641
"By Robbins, Li",author_642
"By Jacobs, Harriet, Child, Lydia Maria Francis, and Brent, L.",author_643
"By Mathis, Robert L. and Jackson, John H.",author_644
"By Springer, Nancy",author_645
"By Macy, Caitlin",author_646
"By Zwerdling, Alex",author_647
"By Jewell, Diana Lewis, Rex (ILT), and Rex",author_648
"By Jamison, Cheryl Alters, Jamison, Bill, and Shaw, Bruce",author_649
"By Ferber, Richard",author_650
"By Dalby, Liza",author_651
"By Alter, Robert",author_652
By FISHER,author_653
"By Walker, Warren F.",author_654
"By Miller, Moira and Deuchar, Ian (ILT)",author_655
"By Greenleaf, Stephen",author_656
"By Mairs, Nancy",author_657
"By Cole, Benjamin and Gurr, Nadine",author_658
"By Winokur, Jon (EDT)",author_659
"By Gale, Harold",author_660
"By Okrent, Daniel",author_661
"By Birmingham, Stephen",author_662
"By Stack, Carol B.",author_663
"By Goldman, Francisco and Golman, Francisco",author_664
"By Merry, Robert W.",author_665
"By Sulloway, Frank J.",author_666
"By Mariners' Museum (Newport News, Va.) (COR), Geer, George S. (EDT), and Marvel, William (EDT)",author_667
"By Lester, Joan Steinau and Norton, Eleanor Holmes",author_668
"By Shivers, Frank R.",author_669
"By Busch, Frederick",author_670
